country,AI Governance,Assessment Policies,Data Privacy,GenAI Tools,Teaching & Learning,Unlabeled Topic
Australia,3,3,1,2,1,0
Canada,1,3,1,1,4,0
Germany,1,2,2,1,1,0
United Kingdom,0,4,1,4,0,1
United States,0,0,2,3,2,1
