,mean_similarity,std_similarity,n_documents
United Kingdom,0.5516968413850822,0.1268517169022349,10.0
Australia,0.3680817899873331,0.16887594805329437,10.0
Canada,0.4979624472486151,0.18691118061730216,10.0
United States,0.4524176086490989,0.12749049657758268,8.0
Germany,0.43716224930605174,0.15001746318484946,7.0
