country,AI Governance,Assessment Policies,Data Privacy,GenAI Tools,Teaching & Learning,Unlabeled Topic
Australia,0.3,0.3,0.1,0.2,0.1,0.0
Canada,0.1,0.3,0.1,0.1,0.4,0.0
Germany,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
United Kingdom,0.0,0.4,0.1,0.4,0.0,0.1
United States,0.0,0.0,0.25,0.375,0.25,0.125
