url,country,stance_score_mean,stance_score_std,stance_score_min,stance_score_max,n_policies,dominant_tone,stance_category
https://www.ucl.ac.uk/students/exams-and-assessments/assessment-success-guide/engaging-generative-ai-your-education-and-assessment,United Kingdom,-0.21428571428571427,,-0.21428571428571427,-0.21428571428571427,1,allowed,Moderately Permissive
https://teachingkb.mcgill.ca/tlk/using-generative-ai-in-teaching-and-learning,Canada,-0.25,,-0.25,-0.25,1,allowed-with-conditions,Moderately Permissive
https://www.adelaide.edu.au/technology/secure-it/generative-ai-it-security-guidelines,Australia,-0.25,,-0.25,-0.25,1,allowed,Moderately Permissive
https://www.curtin.edu.au/news/oasis-news/how-to-navigate-gen-ai-tools-at-curtin/,Australia,-0.2857142857142857,,-0.2857142857142857,-0.2857142857142857,1,allowed,Moderately Permissive
https://www.imperial.ac.uk/admin-services/library/learning-support/generative-ai-guidance/,United Kingdom,-0.2857142857142857,,-0.2857142857142857,-0.2857142857142857,1,allowed,Moderately Permissive
https://www.law.berkeley.edu/wp-content/uploads/2025/08/Sedona-AI-guidelines-for-Judge.pdf,United States,-0.2962962962962963,,-0.2962962962962963,-0.2962962962962963,1,neutral,Moderately Permissive
https://www.staffnet.manchester.ac.uk/dcmsr/communications/ai-guidelines/,United Kingdom,-0.4411764705882353,,-0.4411764705882353,-0.4411764705882353,1,allowed,Highly Permissive
https://www.ox.ac.uk/students/life/it/guidance-safe-and-responsible-use-gen-ai-tools,United Kingdom,-0.4745762711864407,,-0.4745762711864407,-0.4745762711864407,1,allowed-with-conditions,Highly Permissive
https://www.nottingham.ac.uk/studyingeffectively/ai/ai.aspx,United Kingdom,-0.5,,-0.5,-0.5,1,risk-awareness,Highly Permissive
https://lehre-virtuell.uni-frankfurt.de/knowhow/allgemeine-empfehlungen-im-umgang-mit-generativer-ki-in-studium-und-lehre/,Germany,-0.5,,-0.5,-0.5,1,risk-awareness,Highly Permissive
https://uwaterloo.ca/academic-integrity/artificial-intelligence-and-chatgpt,Canada,-0.6666666666666666,,-0.6666666666666666,-0.6666666666666666,1,neutral,Highly Permissive
